,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,KO,MMM,O,SBUX,VZ,AAPL,KO,MMM,O,SBUX,VZ,AAPL,KO,MMM,O,SBUX,VZ,AAPL,KO,MMM,O,SBUX,VZ,AAPL,KO,MMM,O,SBUX,VZ,AAPL,KO,MMM,O,SBUX,VZ
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.5152130126953125,19.08161735534668,57.45610809326172,13.955854415893555,9.25621509552002,16.828811645507812,7.643214225769043,28.520000457763672,83.0199966430664,25.29069709777832,11.524999618530273,31.21294593811035,7.660714149475098,28.610000610351562,83.44999694824219,25.678295135498047,11.664999961853027,31.372386932373047,7.585000038146973,28.450000762939453,82.66999816894531,25.155038833618164,11.454999923706055,31.034746170043945,7.622499942779541,28.579999923706055,83.08999633789062,25.445735931396484,11.65999984741211,31.32549285888672,493729600,13870400,3043700,904961,16370000,16176648
2010-01-05,6.526476860046387,18.850788116455078,57.09623336791992,14.191123962402344,9.473064422607422,16.859153747558594,7.656428813934326,28.174999237060547,82.5,25.71705436706543,11.795000076293945,31.26921844482422,7.699643135070801,28.4950008392334,83.2300033569336,25.71705436706543,12.0,31.32549285888672,7.6160712242126465,28.06999969482422,81.69999694824219,25.203487396240234,11.444999694824219,30.744001388549805,7.664286136627197,28.424999237060547,82.80000305175781,25.58139419555664,11.479999542236328,31.29735565185547,601904800,23172400,2847000,685248,30058800,23722957
2010-01-06,6.422664165496826,18.844100952148438,57.905975341796875,14.180435180664062,9.404796600341797,16.3743839263916,7.534643173217773,28.165000915527344,83.66999816894531,25.697673797607422,11.710000038146973,29.937416076660156,7.68678617477417,28.219999313354492,84.5999984741211,25.784883499145508,11.8100004196167,30.706485748291016,7.526785850524902,27.989999771118164,83.51000213623047,25.445735931396484,11.630000114440918,29.82486915588379,7.656428813934326,28.174999237060547,83.87999725341797,25.784883499145508,11.739999771118164,30.61269760131836,552160000,19264600,5268500,1002588,14209600,37506464
2010-01-07,6.41079044342041,18.797266006469727,57.94749069213867,14.479867935180664,9.380707740783691,16.276927947998047,7.520713806152344,28.094999313354492,83.7300033569336,26.240310668945312,11.680000305175781,29.759218215942383,7.5714287757873535,28.184999465942383,83.76000213623047,26.30813980102539,11.765000343322754,30.106237411499023,7.466071128845215,27.875,82.12000274658203,25.53294563293457,11.595000267028809,29.571640014648438,7.5625,28.165000915527344,83.31999969482422,25.765504837036133,11.640000343322754,30.106237411499023,477131200,13234600,4470100,1258318,10256000,25508242
2010-01-08,6.4534125328063965,18.449356079101562,58.35581588745117,14.677709579467773,9.348579406738281,16.287185668945312,7.570713996887207,27.575000762939453,84.31999969482422,26.59883689880371,11.640000343322754,29.77797508239746,7.5714287757873535,27.81999969482422,84.31999969482422,26.647287368774414,11.800000190734863,29.80611228942871,7.466429233551025,27.375,83.30000305175781,26.12403106689453,11.595000267028809,29.46847152709961,7.510714054107666,27.729999542236328,83.69000244140625,26.153100967407227,11.600000381469727,29.693565368652344,447610800,28712400,3405800,814970,10274800,20658308
2010-01-11,6.396482944488525,18.824024200439453,58.12051773071289,14.565423011779785,9.320466041564941,16.35386085510254,7.503929138183594,28.135000228881836,83.9800033569336,26.395349502563477,11.604999542236328,29.899900436401367,7.607142925262451,28.225000381469727,84.5999984741211,26.695735931396484,11.6850004196167,29.984310150146484,7.444643020629883,27.399999618530273,83.41000366210938,26.35658836364746,11.4350004196167,29.46847152709961,7.599999904632568,27.575000762939453,84.37999725341797,26.67635726928711,11.6850004196167,29.984310150146484,462229600,28642400,2927100,725496,11387000,21974989
2010-01-12,6.323723316192627,19.028087615966797,58.16896057128906,14.618884086608887,9.163856506347656,16.3692569732666,7.4185709953308105,28.440000534057617,84.05000305175781,26.49224853515625,11.40999984741211,29.928037643432617,7.491786003112793,28.5,84.18000030517578,26.531007766723633,11.595000267028809,29.937416076660156,7.372142791748047,28.030000686645508,83.30000305175781,26.25,11.25,29.721702575683594,7.471070766448975,28.045000076293945,83.58000183105469,26.30813980102539,11.449999809265137,29.80611228942871,594459600,23269800,3031800,637879,15429600,14407568
2010-01-13,6.412923336029053,19.078275680541992,57.98207473754883,14.784651756286621,9.388734817504883,16.34874153137207,7.523213863372803,28.514999389648438,83.77999877929688,26.79263687133789,11.6899995803833,29.890522003173828,7.533214092254639,28.71500015258789,84.11000061035156,26.860464096069336,11.75,30.049964904785156,7.289286136627197,28.344999313354492,83.19999694824219,26.405038833618164,11.385000228881836,29.693565368652344,7.423929214477539,28.43000030517578,84.11000061035156,26.763565063476562,11.449999809265137,29.965553283691406,605892000,15157400,3102000,757488,15098400,17108741
